Age,latitude,longitude,Pin code,Medium (P1),Medium (P2),Ease and convenient,Time saving,Easy Payment option,Good delevery safe ,Good Tracking system,Late Delivery,product damage ,Bad past experience,Unavailability,Long delivery time,Delay of delivery ,Wrong order delivered,Missing item,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Output,Reviews
22,12.985,77.5533,560010,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Neutral,Agree,Yes,Important,Very Important,Important,Important,Yes,Nil
23,12.977,77.5773,560009,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Maybe,Weekend (Sat & Sun),45 minutes,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Yes,Important,Very Important,Important,Very Important,Yes,Language barrier is also one major issue. Moslty these delivery boys are only familiar with Kanada which creates a problem while addressing any issue.
23,12.8988,77.5764,560078,Normal Post,Post Man pickup,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Strongly disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Neutral,Disagree,Agree,Maybe,Slightly Important,Unimportant,Slightly Important,Moderately Important,Yes,Nil
21,12.977,77.5773,560009,Normal Post,Post Man pickup,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Strongly disagree,Disagree,No,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Disagree,Strongly Agree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Yes,Nil
23,12.9438,77.5738,560004,Speed posst,Normal Post,Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Moderately Important,Important,Moderately Important,Important,Yes,NIL
24,12.8893,77.6399,560068,Speed posst,Normal Post,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Maybe,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Yes,Moderately Important,Moderately Important,Moderately Important,Important,Yes,NIL
28,12.9783,77.6408,560038,Normal Post,Post Man pickup,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,No,Anytime (Mon-Sun),60 minutes,Neutral,Neutral,Agree,Agree,Agree,No,Unimportant,Unimportant,Unimportant,Slightly Important,Yes,NIL
23,12.982,77.6256,560008,Speed posst,Normal Post,Agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Neutral,Agree,Neutral,Yes,Important,Very Important,Slightly Important,Important,Yes,"Spillage, bad packaging and missing items "
25,12.8988,77.5764,560078,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Yes,Slightly Important,Very Important,Important,Very Important,Yes,Once my order from kfc got exchanged with someone else. Fault was delivery boy's.
21,12.9783,77.6408,560038,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Maybe,Anytime (Mon-Sun),45 minutes,Neutral,Disagree,Neutral,Neutral,Neutral,Yes,Slightly Important,Very Important,Slightly Important,Slightly Important,Yes,Nil
24,12.977,77.5773,560009,Speed posst,Post Man pickup,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Yes,Weekend (Sat & Sun),More than 60 minutes,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Yes,Important,Very Important,Important,Important,Yes,NIL
22,13.0298,77.6047,560032,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Disagree,Agree,Yes,Very Important,Very Important,Moderately Important,Important,Yes,Nil
22,12.9983,77.6409,560033,Speed posst,Post Man pickup,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Yes,Weekdays (Mon-Fri),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Yes,Very Important,Important,Slightly Important,Slightly Important,Yes,I feel Swiggy has a good interface for users and the delivery time to my place in Bangalore taken by Swiggy is less than Zomato when ordered from same restaurant
23,12.9925,77.5633,560021,Speed posst,Normal Post,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Yes,Weekdays (Mon-Fri),30 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Important,Important,Important,Important,Yes,NIL
21,12.9306,77.5434,560085,Normal Post,Post Man pickup,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,No,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Maybe,Moderately Important,Important,Moderately Important,Moderately Important,Yes,NIL
25,12.982,77.6256,560008,Normal Post,Post Man pickup,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Nil
22,12.9353,77.5585,560050,Speed posst,Post Man pickup,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Agree,Agree,Agree,Yes,Moderately Important,Important,Important,Important,Yes,NIL
22,12.9155,77.5135,560098,Speed posst,Normal Post,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,No,Anytime (Mon-Sun),45 minutes,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Yes,Slightly Important,Important,Very Important,Very Important,Yes,Nil
23,12.9854,77.7081,560048,Normal Post,Post Man pickup,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Maybe,Weekend (Sat & Sun),30 minutes,Neutral,Neutral,Neutral,Disagree,Neutral,Maybe,Important,Important,Moderately Important,Moderately Important,Yes,NIL
22,13.0019,77.5713,560003,Normal Post,Post Man pickup,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),15 minutes,Agree,Neutral,Agree,Agree,Neutral,No,Important,Very Important,Moderately Important,Important,Yes,No
22,12.9698,77.75,560066,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Strongly agree,Yes,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Yes,Important,Important,Important,Very Important,Yes,NIL
22,12.9783,77.6408,560038,Speed posst,Post Man pickup,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Neutral,Agree,Yes,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Yes,NIL
25,12.9261,77.6221,560034,Speed posst,Post Man pickup,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Disagree,Agree,Agree,Agree,Yes,Very Important,Slightly Important,Very Important,Moderately Important,Yes,I expect faster delivery in my area
22,12.985,77.5533,560010,Normal Post,Post Man pickup,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Agree,Agree,Agree,Yes,Important,Important,Moderately Important,Important,Yes,Nil
22,12.9119,77.6446,560102,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Disagree,Agree,Strongly Agree,Yes,Very Important,Very Important,Moderately Important,Important,Yes,NIL
25,12.9306,77.5434,560085,Speed posst,Normal Post,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Moderately Important,Very Important,Very Important,Moderately Important,Yes,Nil
25,12.977,77.5773,560009,Speed posst,Normal Post,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,Disagree,Agree,Maybe,Important,Very Important,Important,Very Important,No,"Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order "
32,12.982,77.6256,560008,Speed posst,Web browser,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Yes,Weekdays (Mon-Fri),60 minutes,Agree,Agree,Strongly disagree,Agree,Neutral,Yes,Important,Important,Slightly Important,Important,Yes,I love zomato but it requires quality in deliver service.
23,12.9438,77.5738,560004,Speed posst,Normal Post,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Agree,Agree,Disagree,Agree,Yes,Very Important,Very Important,Moderately Important,Important,Yes,NIL
23,12.8988,77.5764,560078,Normal Post,Post Man pickup,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Neutral,Agree,Neutral,Neutral,Yes,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Yes,NIL
30,12.9662,77.6068,560025,Speed posst,Web browser,Agree,Strongly agree,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Agree,Yes,Weekdays (Mon-Fri),More than 60 minutes,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Yes,Important,Important,Moderately Important,Important,Yes,Prefer hygienic delivery people
23,12.9565,77.5484,560026,Speed posst,Normal Post,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Neutral,Neutral,Strongly Agree,Yes,Very Important,Very Important,Slightly Important,Very Important,Yes,nil
23,12.9925,77.5633,560021,Speed posst,Post Man pickup,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Neutral,Strongly Agree,Yes,Important,Important,Moderately Important,Important,Yes,NIL
22,12.985,77.5533,560010,Normal Post,Post Man pickup,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Yes,Important,Very Important,Important,Very Important,Yes,NIL
22,12.985,77.5533,560010,Speed posst,Normal Post,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Agree,Agree,Disagree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Yes,NIL
27,12.9261,77.6221,560034,Speed posst,Post Man pickup,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,No,Very Important,Moderately Important,Important,Moderately Important,Yes,NIL
24,12.977,77.5773,560009,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Maybe,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,Disagree,Agree,Yes,Moderately Important,Very Important,Unimportant,Important,Yes,NIL
23,12.977,77.5773,560009,Speed posst,Normal Post,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Neutral,Disagree,Neutral,Disagree,Neutral,Yes,Moderately Important,Slightly Important,Moderately Important,Slightly Important,Yes,-
23,12.982,77.6256,560008,Speed posst,Normal Post,Agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Neutral,Agree,Neutral,Yes,Important,Very Important,Slightly Important,Important,Yes,"Spillage, bad packaging and missing items "
22,12.985,77.5533,560010,Normal Post,Post Man pickup,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Agree,Agree,Agree,Yes,Important,Important,Moderately Important,Important,Yes,Nil
23,13.0206,77.6479,560043,Speed posst,Post Man pickup,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Yes,Nil
23,12.977,77.5773,560009,Speed posst,Post Man pickup,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Maybe,Anytime (Mon-Sun),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Maybe,Important,Important,Unimportant,Important,Yes,NiL
24,12.977,77.5773,560009,Speed posst,Normal Post,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Agree,Agree,Agree,Agree,Yes,Slightly Important,Important,Important,Important,Yes,No
25,12.9635,77.5821,560002,Normal Post,Post Man pickup,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Agree,Agree,Yes,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,N0
22,12.9306,77.5434,560085,Speed posst,Post Man pickup,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Neutral,Neutral,Agree,Yes,Important,Important,Important,Important,Yes,Nil
28,13.0067,77.545,560086,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Yes,Very Important,Very Important,Moderately Important,Very Important,Yes,I have normally had good experiences with swiggy especially for payments and refunds
22,12.8845,77.6036,560076,Speed posst,Normal Post,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Maybe,Anytime (Mon-Sun),60 minutes,Agree,Agree,Strongly Agree,Neutral,Neutral,Yes,Very Important,Important,Moderately Important,Important,Yes,NIL
24,12.977,77.5773,560009,Speed posst,Post Man pickup,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Yes,Weekend (Sat & Sun),60 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Slightly Important,Moderately Important,Unimportant,Slightly Important,Yes,NIL
31,12.9119,77.6446,560102,Normal Post,Post Man pickup,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Agree,Neutral,Disagree,Agree,Agree,Maybe,Important,Important,Moderately Important,Important,Yes,NIL
25,13.0067,77.545,560086,Speed posst,Normal Post,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Important,Very Important,Important,Important,Yes,NIL
23,12.8988,77.5764,560078,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Maybe,Weekend (Sat & Sun),60 minutes,Agree,Agree,Agree,Disagree,Strongly Agree,Maybe,Very Important,Very Important,Very Important,Very Important,Yes,Nil
22,12.8845,77.6036,560076,Speed posst,Normal Post,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Strongly disagree,Agree,Neutral,Agree,Disagree,Maybe,Anytime (Mon-Sun),30 minutes,Strongly Agree,Agree,Neutral,Agree,Neutral,No,Very Important,Very Important,Important,Important,Yes,Nill
23,13.0158,77.539,560096,Speed posst,Normal Post,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree,No,Weekend (Sat & Sun),60 minutes,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Yes,Very Important,Very Important,Slightly Important,Very Important,Yes,NIL
23,12.9343,77.6044,560029,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Maybe,Weekend (Sat & Sun),30 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Yes,Very Important,Very Important,Moderately Important,Very Important,Yes,Nil
23,13.0019,77.5713,560003,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Maybe,Anytime (Mon-Sun),45 minutes,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly Agree,Yes,Moderately Important,Moderately Important,Very Important,Very Important,Yes,NIL
25,13.0012,77.5995,560046,Speed posst,Normal Post,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),60 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Important,Important,Important,Important,Yes,No
24,12.9442,77.6076,560030,Speed posst,Web browser,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Maybe,Anytime (Mon-Sun),30 minutes,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Yes,Slightly Important,Important,Important,Moderately Important,Yes,Good
23,13.0487,77.5923,560024,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Important,Important,Moderately Important,Moderately Important,Yes,Nil
23,13.0487,77.5923,560024,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Important,Important,Moderately Important,Moderately Important,Yes,Nil
24,12.9438,77.5738,560004,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Agree,Strongly disagree,Agree,Yes,Important,Slightly Important,Moderately Important,Very Important,Yes,Good so far
22,12.9889,77.5741,560020,Speed posst,Post Man pickup,Disagree,Strongly disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly Agree,Yes,Very Important,Very Important,Unimportant,Slightly Important,Yes,Nil
24,12.9335,77.5691,560028,Speed posst,Post Man pickup,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Very Important,Very Important,Important,Very Important,No,Nil
25,12.9766,77.5993,560001,Speed posst,Post Man pickup,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,No,Weekend (Sat & Sun),45 minutes,Neutral,Disagree,Neutral,Disagree,Neutral,No,Moderately Important,Very Important,Important,Important,Yes,NIL
23,12.8845,77.6036,560076,Speed posst,Post Man pickup,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Agree,Agree,No,Important,Very Important,Slightly Important,Important,Yes,Nil
26,13.0019,77.5713,560003,Normal Post,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Neutral,Strongly Agree,Agree,Neutral,No,Important,Very Important,Moderately Important,Very Important,Yes,Nil
